A,B,a,b,y,z,w,x,AS,BS,deltaA,deltaB,FER,Bratio
16,11,1.875,2.673,1.93,1.724,3.945,3.444,Over-defense,intermediate,0,3.20441347270616,Inf,0.29131031570056
14,18,2.01,2.485,1.645,1.419,3.55,3.225,intermediate,intermediate,6.11267605633803,0.805581395348836,0.102502292239726,0.0447545219638242
18,9,2.867,2.409,1.607,1.956,3.139,2.626,Over-defense,Over-destroyed,0,9,Inf,1
10,10,2.227,2.403,1.146,1.41,3.644,3.264,intermediate,intermediate,3.44950603732162,2.5030637254902,0.725629611430889,0.25030637254902
11,18,3.067,3.231,0.835,0.946,3.663,3.953,Over-destroyed,intermediate,11,4.22691626612699,0.2348286814515,0.2348286814515
11,11,3.149,1,1.202,0.999,2.063,2.16,Over-defense,intermediate,0,10.9490740740741,Inf,0.99537037037037
10,13,2.139,2.256,1.178,0.849,3.068,2.947,intermediate,intermediate,5.71968709256845,3.51306413301663,0.472465885224484,0.27023570253974
11,11,3.084,1.622,1.932,1.765,2.853,2.493,Over-defense,intermediate,0,5.81989570798235,Inf,0.529081427998396
11,15,1.059,1.211,1.953,0.703,2.27,3.581,Over-defense,intermediate,0,0.308293772689193,Inf,0.0205529181792795
11,11,2.949,3.812,1.445,0.899,3.554,2.172,intermediate,intermediate,7.32611142374789,10.3821362799263,1.41714146556278,0.943830570902394
10,10,2.151,2.35,1.85,1.269,3.84,2.896,intermediate,intermediate,1.30208333333333,3.04558011049724,2.33900552486188,0.304558011049724
11,11,1.294,3.971,1.95,1.624,3.393,2.669,intermediate,Over-defense,6.55201886236369,0,0,0
15,17,3.096,2.033,0.614,0.77,2.536,3.82,intermediate,intermediate,9.99645110410095,8.7303664921466,0.770599933083639,0.51355097012627
18,10,2.162,2.462,1.105,0.747,2.078,3.076,intermediate,Over-destroyed,2.27622714148219,10,7.90782241014799,1
18,18,2.879,1.951,1.598,1.507,2.137,3.092,intermediate,intermediate,2.97332709405709,7.98706338939198,2.68623771846564,0.44372574385511
11,18,1.857,1.452,0.57,1.187,3.104,2.211,intermediate,Over-defense,6.40012886597938,0,0,0
11,11,3.29,3.014,1.163,1.824,2.701,2.885,intermediate,intermediate,7.53831914105887,5.5896013864818,0.741491741313656,0.508145580589255
18,10,2.832,1.182,1.363,1.025,3.319,2.462,Over-defense,Over-destroyed,0,10,Inf,1
11,11,2.996,2.321,0.999,1.953,2.928,2.059,intermediate,intermediate,4.96653005464481,5.57212238950947,1.12193469649867,0.506556580864497
18,10,2.057,1.258,1.63,1.806,3.961,2.368,Over-defense,intermediate,0,8.00929054054054,Inf,0.800929054054054
11,16,3.982,3.765,0.976,0.562,3.589,2.505,Over-destroyed,intermediate,11,13.8962075848303,0.868512974051896,0.868512974051896
15,15,1.018,3.384,0.852,1.093,2.059,2.622,Over-destroyed,Over-defense,15,0,0,0
11,11,1.317,2.755,0.849,1.034,3.718,3.35,intermediate,intermediate,5.63905325443787,0.929253731343283,0.164788961801695,0.0844776119402985
15,11,1.763,1.998,1.61,1.477,3.503,3.679,Over-defense,intermediate,0,2.77194889915738,Inf,0.251995354468853
10,10,1.558,1.458,0.929,1.982,3.444,2.509,intermediate,Over-defense,1.53600464576074,0,0,0
18,11,2.391,3.119,1.706,0.609,3.914,2.431,intermediate,Over-destroyed,0.920030659172204,11,19.5645653985004,1
11,11,1.452,2.614,0.741,1.574,3.785,2.994,intermediate,Over-defense,5.44332892998679,0,0,0
10,10,3.589,2.949,0.791,0.914,3.886,3.965,intermediate,intermediate,5.55326814204838,6.74653215636822,1.21487599442293,0.674653215636822
14,14,3.425,1.2,0.841,1.254,3.115,3.98,intermediate,intermediate,1.61348314606742,7.63668341708543,4.73304195070058,0.545477386934673
13,17,1.781,1.358,0.761,1.072,2.716,3.358,intermediate,intermediate,4.85751104565538,1.46783799880881,0.231078085356948,0.0863434116946361
15,15,1.64,3.519,0.923,1.205,2.477,3.006,Over-destroyed,intermediate,15,2.17065868263473,0.144710578842315,0.144710578842315
12,12,3.219,3.695,1.786,0.623,3.875,3.937,intermediate,intermediate,5.91174193548387,7.91262382524765,1.33845893673977,0.659385318770638
15,15,2.315,2.814,1.028,0.723,2.419,3.89,intermediate,intermediate,11.0748243075651,6.1388174807198,0.554303825526733,0.409254498714653
9,10,3.119,2.832,1.469,0.588,3.221,2.45,intermediate,intermediate,4.68767463520646,9.05755102040816,1.73898500914373,0.905755102040816
14,14,2.462,1.511,1.131,1.839,3.585,3.487,intermediate,intermediate,1.48396094839609,2.50129050759966,1.68555008829789,0.17866360768569
17,18,2.656,1.517,1.34,1.055,3.796,2.27,intermediate,intermediate,1.19230769230769,11.5251101321586,9.12920910110054,0.640283896231033
16,14,3.736,1.793,1.765,0.679,3.386,2.575,Over-defense,Over-destroyed,0,14,Inf,1
18,12,2.262,3.307,1.783,1.017,3.847,2.755,intermediate,intermediate,1.97296594749155,10.3491833030853,7.8682427207449,0.862431941923775
15,15,3.683,1.27,0.606,1.366,2.779,3.331,intermediate,intermediate,3.58402302986686,10.4338036625638,2.91119883315911,0.695586910837586
10,10,1.722,3.495,1.401,0.515,2.004,2.955,Over-destroyed,intermediate,10,4.08460236886633,0.408460236886633,0.408460236886633
11,17,2.562,3.524,1.257,1.853,2.016,2.924,Over-destroyed,Over-defense,11,0,0,0
18,17,3.695,2.855,1.659,1.513,3.511,2.689,intermediate,intermediate,5.31842779834805,15.1688359985125,3.0199000678362,0.892284470500733
10,10,2.292,1.781,0.946,1.577,3.91,2.916,intermediate,intermediate,2.13554987212276,2.4519890260631,1.14817689723434,0.24519890260631
11,18,3.877,2.479,1.19,0.729,3.1,2.419,intermediate,intermediate,10.1716129032258,12.2054568003307,0.733304573997627,0.678080933351706
14,14,3.477,2.233,1.583,1.363,3.828,3.926,intermediate,intermediate,2.37722048066876,7.53846153846154,3.17112426035503,0.538461538461538
16,9,3.16,3.072,1.272,1.146,3.977,2.446,intermediate,Over-destroyed,1.8345486547649,9,8.72149122807018,1
18,13,1.922,2.597,1.055,1.563,3.014,3.17,intermediate,intermediate,4.90079628400796,4.50378548895899,1.27244845850238,0.34644503761223
16,15,2.785,3.301,1.968,1.894,2.387,3.374,intermediate,intermediate,7.55215751989946,4.78660343805572,0.676059830647451,0.319106895870381
12,12,1.751,3.659,1.043,0.661,2.798,3.378,intermediate,intermediate,11.2194424588992,3.87211367673179,0.345125320702585,0.322676139727649
9,11,3.566,2.157,0.817,1.762,2.45,2.337,intermediate,intermediate,6.68326530612245,5.43945228925973,0.665911161698575,0.494495662659976
9,14,2.726,3.477,0.943,1.325,2.094,3.389,Over-destroyed,intermediate,9,1.7657125995869,0.126122328541921,0.126122328541921
12,17,2.885,3.912,0.5,1.19,2.427,3.061,Over-destroyed,intermediate,12,4.70107807905913,0.276534004650537,0.276534004650537
15,17,1.147,3.853,1.888,1.692,2.188,2.838,Over-destroyed,Over-defense,15,0,0,0
17,9,3.659,3.836,0.984,0.967,3.519,3.757,intermediate,Over-destroyed,5.05711849957374,9,3.36159811193527,1
11,11,1.523,4,0.782,0.526,2.646,3.773,Over-destroyed,intermediate,11,2.9067055393586,0.264245958123509,0.264245958123509
12,14,1.834,2.28,1.974,1.199,2.149,2.11,intermediate,intermediate,3.83061889250814,2.47488151658768,0.553781797079021,0.176777251184834
18,11,1.787,3.777,1.307,1.119,3.769,3.448,intermediate,intermediate,4.78137436985938,5.75899071925754,1.97094020801928,0.523544610841595
9,15,2.051,2.867,1.818,1.818,2.09,3.221,Over-destroyed,Over-defense,9,0,0,0
17,15,1.933,3.753,1.768,1.971,2.192,2.344,intermediate,intermediate,11.9703467153285,1.4061433447099,0.133131408964441,0.0937428896473266
13,13,2.38,1.047,1.072,1.93,3.906,3.906,Over-defense,intermediate,0,1.49769585253456,Inf,0.115207373271889
10,16,1.904,2.632,1.172,1.58,2.826,2.391,Over-destroyed,Over-defense,10,0,0,0
16,9,2.843,2.879,0.917,0.917,2.446,3.491,intermediate,Over-destroyed,4.59484873262469,9,3.48216033454934,1
13,16,1.47,2.902,1.991,0.767,2.963,3.738,intermediate,intermediate,6.93520080998988,1.82932049224184,0.214315769747504,0.114332530765115
13,13,1.458,2.779,1.295,0.99,2.705,2.705,intermediate,intermediate,7.13197781885397,2.24916820702403,0.315363881401617,0.173012939001848
17,14,3.959,3.143,0.67,1.445,3.072,2.697,intermediate,Over-destroyed,10.6158854166667,14,1.60137372746228,1
12,12,3.202,2.421,1.545,0.7,2.873,3.777,intermediate,intermediate,3.65889314305604,7.94916600476569,2.17256030552624,0.662430500397141
17,17,3.73,1.916,0.99,0.832,3.108,2.611,intermediate,Over-destroyed,5.06499356499356,17,3.35637149028078,1
16,16,1.153,3.096,1.225,1.081,2.603,2.372,intermediate,intermediate,11.5005762581637,0.48566610455312,0.0422297190724135,0.03035413153457
17,10,2.35,1.581,0.521,1.216,3.252,3.597,intermediate,intermediate,2.13806888068881,7.72588268001112,6.14292676660053,0.772588268001112
18,10,2.286,3.589,1.792,1.375,2.098,2.56,intermediate,Over-destroyed,1.73212583412774,10,10.3918547055586,1
16,17,3.965,3.078,1.507,1.648,3.597,2.196,intermediate,intermediate,7.84375868779539,16.1311475409836,1.93558434335622,0.948891031822565
14,14,1.329,1.922,1.574,0.597,2.219,3.115,intermediate,intermediate,2.19558359621451,3.28988764044944,1.49841146842309,0.234991974317817
13,18,1.593,1.147,0.638,0.97,3.354,3.366,intermediate,intermediate,3.68276684555754,0.96524064171123,0.189291983573929,0.0536244800950683
12,12,3.372,1.423,1.084,0.576,2.36,3.057,intermediate,intermediate,1.72372881355932,10.9754661432777,6.36728124339612,0.914622178606477
16,16,2.72,1.534,1.475,0.664,3.151,3.362,intermediate,intermediate,0.299587432561091,9.78465199286139,32.660422065155,0.611540749553837
17,17,1.411,3.137,1.392,0.559,2.474,3.256,intermediate,intermediate,11.9907033144705,4.44840294840295,0.370987658666742,0.261670761670762
11,16,3.061,1.487,0.811,1.88,3.249,2.528,intermediate,intermediate,4.57710064635272,1.42049050632911,0.213363720520208,0.0887806566455697
14,13,2.703,3.859,1.125,1.701,2.548,2.975,intermediate,intermediate,13.5074568288854,5.28705882352941,0.421526844633893,0.406696832579185
18,18,1.299,3.982,1.372,1.918,3.75,3.143,intermediate,Over-defense,12.528,0,0,0
10,9,3.724,2.538,0.705,1.712,2.975,3.104,intermediate,intermediate,5.30823529411765,7.03350515463918,1.47224177044999,0.781500572737686
12,12,3.043,3.883,1.877,0.961,3.691,3.335,intermediate,intermediate,6.52180980764021,7.49145427286357,1.14867720676053,0.624287856071964
11,14,3.342,1.429,0.532,1.158,2.892,2.415,intermediate,intermediate,4.89419087136929,8.50931677018634,1.36608724991001,0.607808340727595
12,12,1.323,2.802,2,1.102,2.086,3.268,intermediate,intermediate,4.61361457334612,0.811505507955936,0.175893650207407,0.067625458996328
14,14,1.951,2.691,1.111,1.319,3.276,3.405,intermediate,intermediate,6.75213675213675,2.5985315712188,0.384845814977974,0.1856093979442
9,9,2.121,3.325,0.629,1.748,2.317,3.339,Over-destroyed,intermediate,9,1.00539083557951,0.111710092842168,0.111710092842168
11,13,3.93,1.74,0.873,0.987,2.583,2.665,intermediate,intermediate,5.03948896631823,11.4067542213884,1.91524756201835,0.87744263241449
10,17,3.894,2.01,0.864,1.618,2.9,3.703,intermediate,intermediate,8.80344827586207,3.08776667566838,0.206320669096064,0.181633333862846
15,12,1.446,1.341,1.002,1.163,3.984,2.016,intermediate,intermediate,0.266566265060241,3.83630952380952,17.9894740382029,0.31969246031746
9,18,3.002,1.241,1.604,1.222,2.552,2.176,intermediate,intermediate,3.09639498432602,2.30790441176471,0.372676035106525,0.128216911764706
14,17,3.143,2.25,1.935,1.328,3.566,3.914,intermediate,intermediate,3.12955692652832,5.47419519672969,1.44051086338569,0.32201148216057
18,11,2.814,1.493,1.695,1.671,2.329,2.239,Over-defense,Over-destroyed,0,11,Inf,1
15,15,3.014,1.875,0.559,0.955,3.816,2.932,intermediate,intermediate,5.17295597484277,10.5337653478854,2.03631451709882,0.70225102319236
9,18,1.217,1.164,0.87,1.369,2.861,2.614,intermediate,Over-defense,4.58650821391122,0,0,0
10,11,2.11,1.288,1.492,1.099,2.736,2.65,Over-defense,intermediate,0,3.40037735849056,Inf,0.309125214408233
12,15,1.417,1.117,1.431,1.48,2.348,3.765,Over-defense,Over-defense,0,0,NA,0
10,17,2.673,3.125,1.114,0.82,3.096,3.417,Over-destroyed,intermediate,10,3.74304945858941,0.220179379917024,0.220179379917024
16,16,2.714,3.184,1.865,1.16,3.753,2.031,intermediate,intermediate,5.6232347455369,12.2422451994092,2.17708236511479,0.765140324963072
13,13,2.415,3.724,1.803,0.943,2.888,2.106,intermediate,intermediate,8.64716066481995,9.08641975308642,1.05079807179408,0.698955365622032
18,17,3.671,3.665,0.858,1.407,2.262,2.477,Over-destroyed,Over-destroyed,18,17,1,1
18,17,1.575,1.393,0.882,1.096,3.159,3.01,intermediate,intermediate,2.47071858182969,3.22857142857143,1.38360047157877,0.189915966386555
9,9,2.215,1.845,1.41,0.864,3.812,3.018,intermediate,intermediate,1.02701993704092,4.02882703777336,3.92283235453181,0.447647448641484
15,15,3.366,3.483,1.58,1.152,2.579,2.427,intermediate,intermediate,11.0682435052346,13.6835599505562,1.2362901072862,0.912237330037083
17,15,1.464,1.658,0.708,1.615,2.896,3.663,intermediate,intermediate,4.43162983425414,0.18099918099918,0.0462882534878793,0.012066612066612
16,16,2.902,3.378,1.689,1.8,2.176,3.108,intermediate,intermediate,12.4191176470588,5.67310167310167,0.456803923944244,0.354568854568855
12,15,1.963,3.348,0.926,1.448,3.315,3.828,intermediate,intermediate,11.7972850678733,0.479623824451411,0.0325243526246584,0.0319749216300941
14,14,2.386,1.699,1.827,0.958,2.274,2.102,Over-defense,intermediate,0,9.51094196003806,Inf,0.679352997145576
14,14,1.006,3.16,1.442,0.758,3.174,2.29,intermediate,intermediate,7.5778197857593,1.51615720524017,0.2000782874369,0.108296943231441
17,9,2.321,3.818,0.823,1.959,2.035,2.235,intermediate,Over-destroyed,10.0103194103194,9,1.69824750871337,1
18,16,3.395,1.634,0.612,1.149,3.593,2.978,intermediate,intermediate,4.21040912886168,14.3472128945601,3.83350263890956,0.896700805910007
10,11,1.129,2.268,1.328,1.134,2.967,3.933,intermediate,Over-defense,3.93259184361308,0,0,0
10,9,2.573,1.376,0.908,1.184,2.008,2.888,intermediate,intermediate,1.64541832669323,5.21952908587258,3.52462147041705,0.579947676208064
14,12,1.693,3.918,1.093,1.636,2.626,3.213,intermediate,intermediate,12.0769230769231,1.26672891378774,0.122369778295843,0.105560742815645
12,11,3.548,3.366,0.779,1.56,2.814,2.145,intermediate,Over-destroyed,9.83582089552239,11,1.22003034901366,1
11,18,2.397,2.591,1.263,0.697,3.432,3.659,intermediate,intermediate,9.54108391608392,3.77726154687073,0.241935457351358,0.209847863715041
9,15,3.994,2.198,1.196,0.523,3.436,3.025,intermediate,intermediate,6.4627473806752,9.28958677685951,0.862443127946211,0.619305785123967
9,13,1.998,2.89,0.541,1.401,2.908,2.618,Over-destroyed,Over-defense,9,0,0,0
11,10,3.436,2.209,1.319,0.744,3.577,3.886,intermediate,intermediate,2.11937377690802,7.81163149768399,4.05440264528917,0.781163149768399
15,12,2.515,3.401,0.656,1.542,2.321,2.399,intermediate,intermediate,13.3442481688927,8.01208837015423,0.750518900423285,0.667674030846186
15,10,3.718,3.953,0.738,1.985,2.524,3.112,intermediate,Over-destroyed,11.2757527733756,10,1.33028812368236,1
9,9,3.947,1.751,1.671,1.592,3.162,2.798,intermediate,intermediate,0.227703984819734,7.57505360972123,33.2671104360258,0.841672623302359
16,12,2.438,1.387,1.977,0.929,2.72,3.785,Over-defense,intermediate,0,7.36063408190225,Inf,0.613386173491854
16,10,3.712,2.99,0.523,1.994,3.429,2.716,intermediate,Over-destroyed,6.27938174394867,10,2.54802154932194,1
15,15,3.407,2.744,1.78,0.529,3.186,2.959,intermediate,intermediate,4.53860640301318,14.5893883068604,3.2145083779846,0.972625887124028
10,17,1.387,3.595,0.785,1.639,3.64,2.474,Over-destroyed,Over-defense,10,0,0,0
11,13,1.939,2.579,0.597,0.518,3.127,2.047,intermediate,intermediate,8.621682123441,7.12994626282364,0.699751088799203,0.548457404832588
10,17,3.824,2.139,1.733,0.858,2.771,2.055,intermediate,intermediate,6.86863948033201,11.5104622871046,0.985764384383993,0.677086016888507
16,9,2.28,3.278,1.26,1.442,3.413,3.413,intermediate,intermediate,2.73718136536771,6.88602402578377,4.4724184685649,0.765113780642641
9,17,3.665,2.714,1.762,0.861,2.333,2.524,Over-destroyed,intermediate,9,7.26941362916006,0.42761256642118,0.42761256642118
12,18,1.816,3.031,1.231,1.551,2.763,3.049,Over-destroyed,Over-defense,12,0,0,0
10,18,1.681,2.521,0.503,1.011,3.135,2.403,Over-destroyed,Over-defense,10,0,0,0
13,13,2.485,1.041,1.601,1.706,3.98,3.327,Over-defense,intermediate,0,3.043883378419,Inf,0.234144875263
14,14,2.432,2.309,1.724,0.829,3.19,2.873,intermediate,intermediate,2.56739811912226,7.81134702401671,3.04251489702238,0.557953358858336
18,9,3.513,2.973,0.993,1.389,3.659,3.315,intermediate,Over-destroyed,2.4277124897513,9,7.41438703140831,1
10,10,1.957,3.806,1.721,1.522,2.658,2.661,intermediate,intermediate,7.84424379232506,1.63472378804961,0.208397881469345,0.163472378804961
12,10,3.836,2.368,1.774,1.298,2.528,3.742,intermediate,intermediate,0.946202531645569,8.83270978086584,11.2018847789442,0.883270978086584
14,18,2.115,2.286,1.348,0.603,2.748,3.546,intermediate,intermediate,8.10625909752547,5.28934010152284,0.507500579561927,0.29385222786238
11,9,2.755,1.1,1.36,1.34,2.067,2.004,Over-defense,Over-destroyed,0,9,Inf,1
9,16,2.761,1.98,1.715,1.627,2.916,3.73,intermediate,Over-defense,5.57098765432099,0,0,0
14,14,1.687,3.507,0.808,1.607,3.409,3.159,intermediate,intermediate,11.0841889117043,0.354542576764799,0.0319863347322077,0.0253244697689142
18,18,3.689,1.798,1.278,0.565,3.499,3.499,intermediate,intermediate,2.6750500142898,16.070877393541,6.00769230769231,0.89282652186339
16,10,1.74,1.693,1.8,0.785,2.791,2.47,Over-defense,intermediate,0,8.09311740890688,Inf,0.809311740890688
18,12,1.54,2.274,1.839,0.964,2.935,3.186,Over-defense,intermediate,0,5.06967984934087,Inf,0.422473320778406
10,17,2.99,2.086,0.641,1.968,3.487,3.127,intermediate,Over-defense,8.33151706337826,0,0,0
15,14,2.932,3.284,1.014,1.965,2.423,2.454,intermediate,intermediate,12.6974824597606,6.71149144254279,0.566323577230936,0.479392245895913
18,14,3.63,1.804,0.887,0.92,3.378,2.591,intermediate,Over-destroyed,2.75014801657786,14,6.54510226049516,1
13,18,2.068,1.076,1.322,1.354,3.01,2.928,intermediate,intermediate,0.724916943521595,0.85792349726776,0.854734352991328,0.0476624165148755
11,13,2.098,3.841,1.199,1.689,2.614,2.384,Over-destroyed,intermediate,11,0.470218120805369,0.036170624677336,0.036170624677336
16,17,2.297,1.205,1.46,1.856,2.681,2.81,Over-defense,intermediate,0,1.85053380782918,Inf,0.108854929872305
14,14,3.172,3.877,1.069,1.583,3.804,3.718,intermediate,intermediate,10.3343848580442,5.98332436793975,0.578972473942888,0.427380311995697
17,11,2.744,2.074,1.915,1.586,2.982,3.973,Over-defense,intermediate,0,7.35011326453562,Inf,0.668192114957783
12,12,2.403,2.644,1.759,1.739,2.849,2.908,intermediate,intermediate,3.72762372762373,2.74002751031637,0.735060110818392,0.228335625859697
14,14,2.18,1.194,1.886,2,2.493,2.642,Over-defense,intermediate,0,0.953822861468586,Inf,0.0681302043906133
15,9,1.44,1.769,1.844,0.614,2.669,3.793,Over-defense,intermediate,0,4.23780648563143,Inf,0.470867387292381
9,18,3.319,1.587,1.395,1.78,3.483,2,intermediate,Over-defense,4.5968992248062,0,0,0
10,10,1.423,3.566,0.553,1.36,3.076,2.677,intermediate,intermediate,9.79518855656697,0.235338064998132,0.0240258841000416,0.0235338064998132
16,9,3.307,2.978,0.682,1.642,2.544,2.286,intermediate,Over-destroyed,6.24606918238994,9,2.56161107614852,1
15,16,3.988,2.063,1.639,0.932,3.288,3.436,intermediate,intermediate,2.5617396593674,13.069848661234,4.78307117395866,0.816865541327125
18,18,2.268,3.436,1.586,1.665,2.352,2.708,intermediate,intermediate,14.1581632653061,4.00812407680945,0.283096331190866,0.222673559822747
17,9,3.753,1.44,0.573,1.193,2.622,2.834,intermediate,Over-destroyed,1.22768878718535,9,13.8471575023299,1
14,16,2.004,1.023,0.958,0.691,2.877,2.861,intermediate,intermediate,1.02745915884602,5.9419783292555,5.06028000561894,0.371373645578469
10,12,1.716,3.448,1.753,0.926,3.879,2.607,intermediate,intermediate,6.14746068574375,2.3199079401611,0.314480517343402,0.193325661680092
10,11,3.618,1.616,0.949,1.847,3.46,2.517,intermediate,intermediate,2.39479768786127,6.30234406038935,2.39243745737028,0.572940369126305
18,11,2.239,2.738,0.582,0.741,2.25,3.883,intermediate,intermediate,8.72977777777778,8.27993819211949,1.55204291722209,0.752721653829045
17,11,2.973,1.112,1.422,1.451,2.074,3.601,Over-defense,intermediate,0,9.6028880866426,Inf,0.872989826058418
15,10,2.45,2.932,1.155,1.504,2.951,2.646,intermediate,intermediate,4.06472382243307,8.20483749055178,3.02782102141954,0.820483749055178
13,18,2.65,1.716,1.342,1.962,2.607,2.376,intermediate,Over-defense,5.15611814345991,0,0,0
10,12,1.112,1.933,0.77,1.196,3.777,3.08,intermediate,Over-defense,4.10272703203601,0,0,0
11,10,1.616,1.264,1.956,0.582,3.871,3.033,Over-defense,intermediate,0,3.94197164523574,Inf,0.394197164523574
14,15,1.822,3.742,1.158,1.137,3.569,3.217,intermediate,intermediate,11.1846455589801,2.62760335716506,0.219267547378976,0.175173557144337
10,16,3.313,3.56,1.589,1.078,3.155,3.452,Over-destroyed,intermediate,10,4.6008111239861,0.287550695249131,0.287550695249131
11,18,1.2,2.386,1.962,1.613,3.397,3.902,intermediate,Over-defense,6.28966735354725,0,0,0
9,18,3.701,2.456,0.885,0.617,2.247,2.771,Over-destroyed,intermediate,9,8.01263081919884,0.445146156622158,0.445146156622158
10,17,2.104,1.892,1.366,1.659,3.17,3.984,intermediate,Over-defense,5.83722397476341,0,0,0
13,10,3.495,2.162,1.337,1.249,2.11,3.151,intermediate,Over-destroyed,2.00900473933649,10,6.47086577022883,1
12,18,3.125,2.708,0.588,0.676,3.35,2.184,Over-destroyed,intermediate,12,11.5989010989011,0.644383394383394,0.644383394383394
13,18,2.585,1.294,0.538,0.887,2.571,3.303,intermediate,intermediate,6.33916763905095,5.34029669996972,0.608420721707803,0.296683149998318
16,13,1.746,1.928,1.657,1.049,2.411,3.652,Over-defense,intermediate,0,3.91538882803943,Inf,0.301183756003033
10,18,1.511,3.947,1.087,1.557,2.039,3.229,Over-destroyed,Over-defense,10,0,0,0
13,13,3.413,2.761,0.676,0.802,3.131,3.636,intermediate,intermediate,8.65697860108592,9.33525852585258,1.07835065281108,0.718096809680968
10,14,3.196,3.295,0.688,1.827,2.587,2.54,Over-destroyed,intermediate,10,2.51259842519685,0.179471316085489,0.179471316085489
9,12,2.421,2.937,1.642,1.111,2.278,3.573,intermediate,intermediate,8.98419666374012,2.36691855583543,0.197590166747036,0.197243212986286
15,15,2.779,2.996,1.938,0.656,3.331,2.333,intermediate,intermediate,4.76433503452417,13.6498071153022,2.8649973220587,0.909987141020146
9,12,3.331,3.888,1.836,1.404,2.368,2.513,Over-destroyed,intermediate,9,5.22522881018703,0.435435734182252,0.435435734182252
18,17,1.047,2.127,1.654,1.281,2.642,3.041,intermediate,Over-defense,2.41748675246026,0,0,0
16,13,2.967,1.746,1.568,1.351,2.65,3.949,Over-defense,intermediate,0,7.57381615598886,Inf,0.582601242768374
9,9,2.427,3.906,1.771,1.331,3.464,2.951,intermediate,intermediate,5.54705542725173,3.34259573026093,0.602589206850058,0.371399525584548
17,10,1.793,2.685,0.987,1.052,2.196,3.084,intermediate,intermediate,4.58606557377049,6.47243839169909,2.39925598291044,0.647243839169909
16,12,3.237,2.08,0.568,0.835,2.313,3.832,intermediate,intermediate,6.86208387375703,10.9008350730689,2.11808060517543,0.908402922755741
16,10,1.587,3.337,0.97,0.937,2.959,2.407,intermediate,intermediate,6.03244339303819,6.65641877856253,1.76549854707151,0.665641877856253
10,18,2.943,1.969,1.04,1.275,3.793,2.341,intermediate,intermediate,6.6021618771421,2.76804784280222,0.232924364129348,0.153780435711235
11,11,1.669,2.432,0.576,0.573,2.822,2.411,intermediate,intermediate,7.23458540042523,5.0004147656574,0.69118193910096,0.454583160514309
14,15,3.9,1.91,0.717,0.791,3.836,3.292,intermediate,intermediate,4.851929092805,12.9814702308627,2.4971590990696,0.86543134872418
13,15,1.552,2.556,1.246,0.535,3.781,2.466,intermediate,intermediate,5.85612271885745,4.92741281427413,0.729223864330281,0.328494187618275
14,9,2.409,2.791,0.653,1.774,2.885,3.119,intermediate,intermediate,5.53795493934142,5.69413273485091,1.59942431940796,0.632681414983435
9,15,3.137,2.55,1.425,1.454,3.272,2.117,intermediate,intermediate,7.77047677261614,3.03401039206424,0.234272141659804,0.20226735947095
17,11,1.17,2.315,1.067,0.952,3.667,3.761,intermediate,intermediate,1.99781838014726,2.50412124434991,1.93711580487341,0.227647385849992
16,18,2.667,2.215,1.633,1.815,3.898,3.667,intermediate,intermediate,3.52539763981529,2.72757022088901,0.687725786058983,0.151531678938278
10,10,3.601,2.098,1.234,0.579,3.233,3.307,intermediate,intermediate,2.67244045777915,9.1381917145449,3.41941826540783,0.91381917145449
13,16,3.918,3.219,1.519,0.705,2.466,2.99,intermediate,intermediate,12.8779399837794,13.2622073578595,0.83674434667605,0.828887959866221
17,17,1.599,3.243,0.829,0.993,3.045,2.892,intermediate,intermediate,13.4771756978654,3.56224066390041,0.264316555913465,0.20954356846473
14,16,1.928,1.434,0.788,1.342,2.99,3.804,intermediate,intermediate,3.98394648829431,1.45110410094637,0.318708118208608,0.0906940063091482
11,17,1.258,3.102,1.325,1.924,2.904,3.847,Over-destroyed,Over-defense,11,0,0,0
17,12,4,2.022,1.486,0.838,3.933,3.812,Over-defense,Over-destroyed,0,12,Inf,1
12,12,2.773,1.47,1.331,0.846,3.295,2.141,intermediate,intermediate,0.506221547799697,10.8005604857543,21.3356395686813,0.900046707146193
12,13,3.577,3.677,1.777,0.635,2.685,2.63,intermediate,Over-destroyed,9.8610800744879,13,1.21690523850889,1
15,15,1.305,1.646,1.489,1.181,3.237,2.501,intermediate,intermediate,0.72752548656163,0.743702518992403,1.02223569171058,0.0495801679328269
12,12,2.362,1.37,0.755,1.786,2.978,3.393,intermediate,intermediate,2.47817327065144,2.03713527851459,0.822031010761036,0.169761273209549
13,13,3.278,2.045,1.897,1.539,2.239,3.526,intermediate,intermediate,0.859312192943278,6.41151446398185,7.46121667612025,0.493193420306296
10,10,3.26,3.114,1.16,1.865,3.605,2.9,intermediate,intermediate,5.42024965325936,4.81034482758621,0.887476617371969,0.481034482758621
16,12,3.654,3.935,1.439,1.108,3.022,2.086,intermediate,Over-destroyed,8.0066181336863,12,1.99834683418747,1
18,18,2.333,1.305,0.535,1.877,2.986,3.656,intermediate,intermediate,4.64166108506363,2.24507658643326,0.483679558953082,0.12472647702407
14,14,3.783,1.552,0.934,1.178,3.523,3.155,intermediate,intermediate,2.45586148169174,11.5594294770206,4.70687356074244,0.8256735340729
9,9,2.544,3.718,0.905,0.814,3.264,2.485,intermediate,intermediate,7.75643382352941,6.26559356136821,0.807793079128879,0.696177062374245
9,18,2.796,3.067,1.971,1.492,3.119,3.386,Over-destroyed,Over-defense,9,0,0,0
